DayOfYear,Hour,foF2,Longitude,Latitude,F10.7
1,1,2.775,273.0,30.5,
1,2,2.625,273.0,30.5,
1,3,2.875,273.0,30.5,
1,4,2.85,273.0,30.5,
1,5,3.675,273.0,30.5,
1,6,3.7,273.0,30.5,
1,7,4.15,273.0,30.5,
1,8,3.95,273.0,30.5,
1,9,3.625,273.0,30.5,
1,10,3.725,273.0,30.5,
1,11,3.25,273.0,30.5,
1,12,2.95,273.0,30.5,
1,13,2.575,273.0,30.5,
1,14,4.175,273.0,30.5,
1,15,4.525,273.0,30.5,
1,16,4.988,273.0,30.5,
1,17,5.263,273.0,30.5,
1,18,5.525,273.0,30.5,
1,19,5.763,273.0,30.5,
1,20,5.075,273.0,30.5,
1,21,4.825,273.0,30.5,
1,22,5.525,273.0,30.5,
1,23,5.25,273.0,30.5,
1,24,3.45,273.0,30.5,
2,1,2.425,273.0,30.5,
2,2,2.675,273.0,30.5,
2,3,2.975,273.0,30.5,
2,4,3.525,273.0,30.5,
2,5,3.65,273.0,30.5,
2,6,3.625,273.0,30.5,
2,7,3.375,273.0,30.5,
2,8,3.95,273.0,30.5,
2,9,4.375,273.0,30.5,
2,10,4.2,273.0,30.5,
2,11,4.1,273.0,30.5,
2,12,4.075,273.0,30.5,
2,13,3.15,273.0,30.5,
2,14,4.0,273.0,30.5,
2,15,4.775,273.0,30.5,
2,16,4.525,273.0,30.5,
2,17,5.013,273.0,30.5,
2,18,5.157,273.0,30.5,
2,19,5.207,273.0,30.5,
2,20,5.188,273.0,30.5,
2,21,5.35,273.0,30.5,
2,22,5.05,273.0,30.5,
2,23,4.65,273.0,30.5,
2,24,3.325,273.0,30.5,
3,2,2.9,273.0,30.5,
3,3,2.9,273.0,30.5,
3,4,2.975,273.0,30.5,
3,5,2.875,273.0,30.5,
3,6,3.325,273.0,30.5,
3,7,2.725,273.0,30.5,
3,8,3.6,273.0,30.5,
3,9,3.725,273.0,30.5,
3,10,3.325,273.0,30.5,
3,11,2.85,273.0,30.5,
3,12,2.425,273.0,30.5,
3,13,3.05,273.0,30.5,
3,14,3.8,273.0,30.5,
3,15,4.35,273.0,30.5,
3,16,4.55,273.0,30.5,
3,17,5.088,273.0,30.5,
3,18,5.525,273.0,30.5,
3,19,5.438,273.0,30.5,
3,20,5.313,273.0,30.5,
3,21,5.113,273.0,30.5,
3,22,4.963,273.0,30.5,
3,23,4.55,273.0,30.5,
3,24,3.55,273.0,30.5,
4,1,2.825,273.0,30.5,
4,2,2.275,273.0,30.5,
4,3,2.45,273.0,30.5,
4,4,2.6,273.0,30.5,
4,5,3.075,273.0,30.5,
4,6,3.225,273.0,30.5,
4,7,3.35,273.0,30.5,
4,8,3.525,273.0,30.5,
4,9,3.475,273.0,30.5,
4,10,3.35,273.0,30.5,
4,11,3.15,273.0,30.5,
4,12,3.1,273.0,30.5,
4,13,3.225,273.0,30.5,
4,14,4.225,273.0,30.5,
4,15,4.5,273.0,30.5,
4,16,4.95,273.0,30.5,
4,17,5.063,273.0,30.5,
4,18,4.675,273.0,30.5,
4,19,5.263,273.0,30.5,
4,20,5.413,273.0,30.5,
4,21,5.938,273.0,30.5,
4,22,6.088,273.0,30.5,
4,23,5.625,273.0,30.5,
4,24,5.8,273.0,30.5,
5,1,4.775,273.0,30.5,
5,2,3.3,273.0,30.5,
5,3,3.9,273.0,30.5,
5,4,3.55,273.0,30.5,
5,5,4.5,273.0,30.5,
5,6,4.775,273.0,30.5,
5,7,4.075,273.0,30.5,
5,8,4.475,273.0,30.5,
5,9,4.05,273.0,30.5,
5,10,3.8,273.0,30.5,
5,11,3.775,273.0,30.5,
5,12,3.875,273.0,30.5,
5,13,3.275,273.0,30.5,
5,14,4.15,273.0,30.5,
5,15,5.5,273.0,30.5,
5,16,5.475,273.0,30.5,
5,17,5.1,273.0,30.5,
5,18,5.638,273.0,30.5,
5,19,5.5,273.0,30.5,
5,21,5.4,273.0,30.5,
5,22,5.1,273.0,30.5,
5,23,4.813,273.0,30.5,
5,24,4.05,273.0,30.5,
6,1,4.325,273.0,30.5,
6,2,4.1,273.0,30.5,
6,3,3.475,273.0,30.5,
6,7,4.9,273.0,30.5,
6,8,4.95,273.0,30.5,
6,9,5.15,273.0,30.5,
6,10,4.925,273.0,30.5,
6,11,4.775,273.0,30.5,
6,12,3.625,273.0,30.5,
6,13,3.4,273.0,30.5,
6,14,3.725,273.0,30.5,
6,15,4.45,273.0,30.5,
6,16,4.925,273.0,30.5,
6,17,6.504,273.0,30.5,
6,18,6.05,273.0,30.5,
6,19,5.353,273.0,30.5,
6,20,5.663,273.0,30.5,
6,21,5.525,273.0,30.5,
6,22,5.788,273.0,30.5,
6,23,5.075,273.0,30.5,
6,24,4.475,273.0,30.5,
7,1,3.425,273.0,30.5,
7,2,2.675,273.0,30.5,
7,3,2.75,273.0,30.5,
7,4,3.575,273.0,30.5,
7,5,4.025,273.0,30.5,
7,6,3.9,273.0,30.5,
7,7,3.7,273.0,30.5,
7,8,4.05,273.0,30.5,
7,9,4.35,273.0,30.5,
7,10,4.25,273.0,30.5,
7,11,4.275,273.0,30.5,
7,12,3.975,273.0,30.5,
7,13,3.725,273.0,30.5,
7,14,4.75,273.0,30.5,
